date_str,merchant,daily_unique_users
20251013,1698202251,1525
20251013,1698202662,1420
20251013,1698203058,10733
20251013,1713329090,8184
20251013,1716179958,24087
20251013,1718444707,42
20251013,1719571148,116
20251013,1723801345,563
20251013,1737978166,20729
20251013,1741762027,2332
20251013,1741932733,266
20251013,1742280059,2
20251013,1742289481,9
20251013,1747388774,49
20251013,1749463700,589
20251013,1749627491,2
20251013,1750413710,100
20251013,1750646521,1
20251013,1750647705,1
20251013,1750649868,1
20251013,1750662197,1
20251013,1750762420,220
20251013,1751255752,1
20251013,1751256811,1
20251013,1751602642,5544
20251013,1751612625,1
20251013,1751613789,3
20251013,1751615057,1
20251013,1751615160,1
20251013,1751615402,2
20251013,1751632483,836
20251013,1752222840,3
20251013,1752566036,31
20251013,1752747448,2
20251013,1753174385,36
20251013,1753353246,118
20251013,1754281426,38
20251013,1754913084,1
20251013,1755246422,333
20251013,1755248023,1091
20251013,1756280066,644
20251013,1757302420,112
20251013,1757656640,1
20251013,1757738096,333
20251013,1758696142,1
20251013,1760338096,1
20251014,1698202251,1572
20251014,1698202662,1199
20251014,1698203058,8568
20251014,1713329090,6790
20251014,1716179958,18325
20251014,1718444707,54
20251014,1719571148,97
20251014,1723801345,518
20251014,1735282015,2
20251014,1737978166,21496
20251014,1741762027,2485
20251014,1741932733,217
20251014,1742280059,2
20251014,1742289481,14
20251014,1747388774,36
20251014,1749463700,472
20251014,1749627491,3
20251014,1750413710,101
20251014,1750647418,1
20251014,1750647705,2
20251014,1750649209,1
20251014,1750649540,1
20251014,1750649868,1
20251014,1750762420,208
20251014,1751256811,2
20251014,1751602642,4908
20251014,1751612625,2
20251014,1751613072,1
20251014,1751613252,1
20251014,1751613789,4
20251014,1751615057,2
20251014,1751615160,3
20251014,1751615500,3
20251014,1751632483,952
20251014,1752222840,3
20251014,1752566036,52
20251014,1752747448,34
20251014,1753174385,41
20251014,1753353246,53
20251014,1754281426,27
20251014,1755246422,322
20251014,1755248023,1093
20251014,1756280066,706
20251014,1756783981,1
20251014,1757302420,130
20251014,1757656822,1
20251014,1757656943,1
20251014,1757657097,4
20251014,1757738096,477
20251014,1758696175,1
20251014,1760338096,28
20251015,1698202251,1099
20251015,1698202662,715
20251015,1698203058,7701
20251015,1713329090,6010
20251015,1716179958,17808
20251015,1718444707,53
20251015,1719571148,120
20251015,1723801345,530
20251015,1735282015,1
20251015,1737978166,22121
20251015,1741762027,2420
20251015,1741932733,199
20251015,1742280059,2
20251015,1742289481,10
20251015,1747388774,44
20251015,1749463700,645
20251015,1749627491,3
20251015,1750413710,64
20251015,1750646521,1
20251015,1750647418,3
20251015,1750648058,1
20251015,1750649540,2
20251015,1750649868,1
20251015,1750650330,1
20251015,1750762420,204
20251015,1751256811,3
20251015,1751602642,4154
20251015,1751612625,1
20251015,1751613072,1
20251015,1751613252,2
20251015,1751613789,1
20251015,1751615057,1
20251015,1751615160,2
20251015,1751615284,2
20251015,1751615402,1
20251015,1751615500,3
20251015,1751632483,1200
20251015,1752222840,6
20251015,1752566036,29
20251015,1752747448,40
20251015,1753174385,35
20251015,1753353246,66
20251015,1754281426,19
20251015,1754913084,1
20251015,1755246422,262
20251015,1755248023,1046
20251015,1756280066,956
20251015,1757302420,148
